Name,Grade,Engagement,Socio-Economic Status,First Generation Student,LMS Interactions
Susan Chandler,10,Low,High,False,0
Joyce Walker,14,Low,High,False,24
Anthony Lewis,75,High,Medium,True,33
Laura Gibson,92,High,High,True,94
Sean Lee,64,High,High,True,16
Kim Potts,10,Low,Low,True,89
Aaron Maxwell,3,Medium,High,True,71
Austin Rodriguez,37,Medium,Medium,True,8
Jason Jackson,87,Low,Low,False,95
Elizabeth Walker,65,High,High,False,47
Blake Clark,72,Medium,Low,True,54
Jessica Massey,52,Medium,Low,False,7
Caleb Soto,85,Medium,Medium,False,36
Timothy Stevens,80,High,Medium,True,75
Tyler Mccarthy,78,High,Medium,False,86
Paul Johnson,35,Medium,High,True,33
Jacob Mccarthy,53,High,Low,True,6
Mark Cooper,31,Low,High,False,93
Ronnie Snyder,66,High,High,False,72
Ann Tran,0,Low,High,False,74
Benjamin Osborn,66,Low,High,True,69
Laura Bonilla,3,High,Medium,True,87
Pamela Alexander,48,High,High,False,18
Sara Reynolds,72,Low,Low,False,65
Cole Bentley,15,High,Medium,False,63
Scott Reyes DDS,83,Low,High,True,67
Justin Richards,18,High,High,False,38
Nicole Rodriguez,32,High,Medium,True,82
Justin Peters,94,Medium,High,False,28
Felicia Smith,13,Medium,Medium,True,8
Johnny Adams,54,Low,High,False,71
Brooke Woodard,90,Medium,High,True,25
Christopher Davis,57,Medium,Low,True,50
Aaron Clark,11,High,Medium,False,76
Andrea Henry,38,Medium,Low,False,36
Eric Cook,60,Low,High,False,68
Brian Murray,42,High,Low,False,1
Bryan Chavez,33,High,High,False,30
Cynthia Hughes,26,Medium,High,False,88
Jonathan Doyle,6,Medium,High,True,25
Barbara West,46,Medium,Low,False,2
Jack Wilson,93,Medium,Low,False,0
Maria Clay,42,Low,High,False,84
Amber Turner,58,Medium,High,False,5
Victoria Taylor,66,High,Medium,False,59
Laura Jones,32,High,Low,True,11
Joseph Martinez,3,Low,Low,True,57
Adam Williams,15,High,Low,False,96
Darlene Martin,80,Medium,Medium,True,59
Carlos Sanchez Jr.,62,Medium,Medium,False,83
Anthony Harper,19,Medium,High,False,49
William Miller,53,Low,Medium,False,74
April Davis,72,Medium,High,True,92
Nathan Williams,41,Medium,Low,False,29
Rachel Wong,25,High,High,True,93
Carol Lopez,12,Medium,Medium,True,17
Dr. Dawn Schmidt DDS,32,Low,High,True,66
Laura Rice,99,Medium,Low,False,63
Marissa Choi,89,High,High,False,40
James Flores,3,Medium,Medium,False,38
Stephen Torres,90,Medium,Low,False,85
Karen Johnson,99,Medium,Medium,False,92
Gabrielle Dixon,71,Medium,High,False,19
Kenneth Patrick,82,High,High,False,19
Christina Hayes,37,Medium,Low,False,35
David Martinez,33,High,Medium,False,22
John Smith,52,High,Low,False,42
Dylan Mercer,36,Medium,Medium,True,65
Monica Hood,54,Low,High,False,26
Adam Sanchez,31,Low,High,False,54
Eric Kaiser,28,High,High,True,16
